날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2002-06-01,119,18.9,15.9,23.6
2002-06-02,119,20.9,13.5,28.4
2002-06-03,119,21.4,14.7,27.6
2002-06-04,119,21.1,17.3,27
2002-06-05,119,23.4,16.3,29.7
2002-06-06,119,24.3,18.6,30.3
2002-06-07,119,23.5,17.9,30
2002-06-08,119,20.9,18.6,25.5
2002-06-09,119,21.5,16.8,27
2002-06-10,119,21.6,18,26.4
2002-06-11,119,20.9,17.9,26.1
2002-06-12,119,19,14.4,24.8
2002-06-13,119,18.2,14.4,23.2
2002-06-14,119,19.3,15.4,24.5
2002-06-15,119,19.4,15.7,24
2002-06-16,119,21.1,15.7,26.4
2002-06-17,119,22.1,17,27.8
2002-06-18,119,21.8,16.6,27.5
2002-06-19,119,21.8,18.9,24.4
2002-06-20,119,21.2,18.5,25.5
2002-06-21,119,22,17.6,27
2002-06-22,119,23.3,19,28.3
2002-06-23,119,18.1,16.7,21.5
2002-06-24,119,16,14.7,17.6
2002-06-25,119,19,15.2,24
2002-06-26,119,19.2,12.7,25.6
2002-06-27,119,19.9,14.1,25.8
2002-06-28,119,21.2,14.2,28.6
2002-06-29,119,23.8,16.3,30.9
2002-06-30,119,25,20.9,29.9
